Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME
2,8.24,8.24,4,8.46,8.46,3,8.35,8.35,5,8.53,8.53,1,8.14,8.14
2,12.18,20.42,5,12.16,20.62,3,12.18,20.53,4,12.09,20.62,1,12.16,20.30
4,11.21,31.63,5,11.09,31.71,2,10.84,31.37,3,10.79,31.41,1,11.07,31.37
4,10.50,42.13,5,10.44,42.15,1,10.45,41.82,3,10.62,42.03,2,10.55,41.92
5,10.89,53.02,3,10.55,52.70,2,10.78,52.60,4,10.83,52.86,1,10.59,52.51
5,10.97,1:03.99,3,11.06,1:03.76,2,11.07,1:03.67,4,11.04,1:03.90,1,11.05,1:03.56
5,11.44,1:15.43,3,11.48,1:15.24,2,11.45,1:15.12,4,11.44,1:15.34,1,11.43,1:14.99
5,11.13,1:26.56,3,11.05,1:26.29,1,10.87,1:25.99,4,11.06,1:26.40,2,11.14,1:26.13
5,10.32,1:36.88,3,10.30,1:36.59,1,10.42,1:36.41,4,10.31,1:36.71,2,10.37,1:36.50
5,10.23,1:47.11,3,10.19,1:46.78,2,10.19,1:46.60,4,10.12,1:46.83,1,9.95,1:46.45
5,9.86,1:56.97,3,9.73,1:56.51,2,9.73,1:56.33,4,9.81,1:56.64,1,9.77,1:56.22
5,9.83,2:06.80,4,9.88,2:06.39,2,9.75,2:06.08,3,9.74,2:06.38,1,9.79,2:06.01
5,9.99,2:16.79,4,10.36,2:16.75,2,10.02,2:16.10,3,10.01,2:16.39,1,10.09,2:16.10
4,9.91,2:26.691,5,10.89,2:27.633,1,9.93,2:26.022,3,9.93,2:26.317,2,10.16,2:26.259
