Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
1,13.04,13.04,3,13.24,13.24,2,13.16,13.16,4,13.55,13.55
2,10.69,23.73,3,10.65,23.90,1,10.43,23.60,4,10.49,24.05
2,9.56,33.30,3,9.46,33.37,1,9.43,33.03,4,9.41,33.47
2,9.79,43.09,3,9.84,43.21,1,9.84,42.87,4,10.96,44.43
2,9.21,52.31,4,9.42,52.63,1,9.34,52.22,3,7.97,52.40
1,8.93,1:01.25,4,9.00,1:01.63,2,9.04,1:01.26,3,8.86,1:01.27
2,9.05,1:10.30,4,9.31,1:10.95,3,9.07,1:10.33,1,8.64,1:09.91
2,9.11,1:19.42,3,9.50,1:20.45,4,10.23,1:20.57,1,9.20,1:19.11
2,9.51,1:28.924,3,10.03,1:30.472,0,,DQ,1,9.46,1:28.563
