BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Aslan DAUMOV POSITION,Aslan DAUMOV LAP TIME,Aslan DAUMOV ELAPSED TIME,Gabriel CHIASSON-POIRIER POSITION,Gabriel CHIASSON-POIRIER LAP TIME,Gabriel CHIASSON-POIRIER ELAPSED TIME
3,7.95,7.95,1,7.89,7.89,5,8.28,8.28,2,7.94,7.94,4,8.13,8.13,7,8.70,8.70,6,8.44,8.44
2,11.22,19.17,1,11.21,19.10,4,11.09,19.37,3,11.35,19.29,5,11.24,19.37,7,10.99,19.69,6,11.11,19.55
3,10.04,29.21,1,10.02,29.12,2,9.80,29.17,4,10.08,29.37,5,10.10,29.47,7,10.05,29.74,6,10.06,29.61
5,9.91,39.12,2,9.72,38.84,4,9.80,38.97,1,9.40,38.77,3,9.40,38.87,7,9.58,39.32,6,9.60,39.21
5,9.53,48.65,2,9.47,48.31,4,9.54,48.51,1,9.48,48.25,3,9.47,48.34,7,9.54,48.86,6,9.53,48.74
3,9.38,58.03,2,9.54,57.85,5,9.56,58.07,1,9.50,57.75,7,10.97,59.31,6,9.47,58.33,4,9.31,58.05
4,9.64,1:07.67,1,9.51,1:07.36,5,9.69,1:07.76,2,9.70,1:07.45,7,9.51,1:08.82,6,9.58,1:07.91,3,9.53,1:07.58
5,9.89,1:17.56,1,9.89,1:17.25,3,9.61,1:17.37,2,9.89,1:17.34,7,9.83,1:18.65,6,9.78,1:17.69,4,9.81,1:17.39
5,9.45,1:27.01,1,9.41,1:26.66,4,9.55,1:26.92,2,9.42,1:26.76,7,9.62,1:28.27,6,9.65,1:27.34,3,9.41,1:26.80
5,9.37,1:36.38,1,9.46,1:36.12,3,9.35,1:36.27,4,9.52,1:36.28,7,9.89,1:38.16,6,9.84,1:37.18,2,9.45,1:36.25
3,9.43,1:45.81,1,9.32,1:45.44,2,9.28,1:45.55,4,9.55,1:45.83,7,10.12,1:48.28,6,10.17,1:47.35,5,9.59,1:45.84
3,9.54,1:55.35,1,9.49,1:54.93,2,9.50,1:55.05,5,10.20,1:56.03,7,10.31,1:58.59,6,10.30,1:57.65,4,9.60,1:55.44
3,9.81,2:05.16,1,9.51,2:04.44,2,9.54,2:04.59,5,10.45,2:06.48,7,10.72,2:09.31,6,10.40,2:08.05,4,9.73,2:05.17
3,10.23,2:15.383,1,9.66,2:14.092,0,,PEN,4,11.34,2:17.817,6,11.04,2:20.345,5,10.81,2:18.854,2,10.05,2:15.220
