Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
3,7.000,7.000,1,6.700,6.700,2,6.840,6.840,4,7.070,7.070
3,9.300,16.300,1,9.160,15.860,2,9.430,16.280,4,9.460,16.530
2,8.850,25.160,1,9.010,24.880,3,8.970,25.250,4,9.150,25.680
2,9.090,34.250,1,9.290,34.180,3,9.180,34.430,4,9.420,35.110
1,9.510,43.770,2,9.640,43.820,4,29.620,1:04.050,3,9.790,44.910
