LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,KIM Hyun-Kon POSITION,KIM Hyun-Kon LAP TIME,KIM Hyun-Kon ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME
5,13.004,13.004,2,12.485,12.485,1,12.468,12.468,3,12.874,12.874,4,12.983,12.983
4,9.558,22.561,2,9.888,22.373,1,9.822,22.289,5,9.780,22.653,3,9.511,22.494
3,9.420,31.981,4,9.625,31.998,1,9.447,31.736,5,9.485,32.138,2,9.283,31.777
3,9.487,41.467,1,9.122,41.119,2,9.650,41.385,4,9.479,41.617,5,23.586,55.363
2,9.706,51.172,1,9.778,50.896,3,9.827,51.212,4,9.826,51.442,5,16.121,1:11.484
2,9.656,1:00.828,1,9.901,1:00.797,3,9.699,1:00.911,4,10.046,1:01.488,5,10.761,1:22.244
1,9.744,1:10.571,2,9.860,1:10.656,3,9.758,1:10.669,4,10.539,1:12.026,5,10.393,1:32.637
1,9.710,1:20.281,3,9.930,1:20.586,2,9.701,1:20.369,4,10.949,1:22.975,5,10.685,1:43.322
1,10.04,1:30.317,2,10.01,1:30.594,0,,DQ,3,11.49,1:34.458,4,10.93,1:54.247
