LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
1,12.06,12.06,3,12.28,12.28,4,12.40,12.40,2,12.26,12.26
1,9.41,21.48,3,9.30,21.59,2,9.13,21.54,4,9.39,21.66
1,9.10,30.58,2,9.09,30.68,4,9.21,30.75,3,9.05,30.71
2,9.01,39.60,1,8.91,39.59,4,9.01,39.76,3,8.95,39.67
1,8.78,48.38,4,8.99,48.59,2,8.71,48.48,3,8.83,48.51
1,8.84,57.23,4,9.04,57.64,2,8.82,57.30,3,8.97,57.48
1,8.84,1:06.08,4,9.01,1:06.65,2,8.81,1:06.11,3,8.72,1:06.20
1,8.96,1:15.04,4,9.37,1:16.02,3,9.22,1:15.34,2,8.92,1:15.12
1,9.44,1:24.471,4,9.57,1:25.581,3,9.66,1:24.995,2,9.59,1:24.706
