KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Daniel ZASTRUGOV POSITION,Daniel ZASTRUGOV LAP TIME,Daniel ZASTRUGOV ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME
2,12.70,12.70,1,12.65,12.65,5,13.27,13.27,4,12.93,12.93,3,12.83,12.83
2,9.90,22.60,1,9.88,22.53,5,9.63,22.90,3,9.69,22.62,4,9.91,22.74
2,9.44,32.04,1,9.44,31.97,3,9.43,32.33,5,11.21,33.83,4,9.61,32.35
2,9.47,41.51,1,9.48,41.45,4,9.61,41.94,5,12.02,45.85,3,9.30,41.65
2,9.40,50.91,1,9.39,50.84,4,9.53,51.47,5,11.46,57.31,3,9.41,51.06
1,9.25,1:00.16,2,9.36,1:00.20,4,9.78,1:01.25,5,13.51,1:10.82,3,9.34,1:00.40
1,9.15,1:09.31,2,9.30,1:09.50,4,10.26,1:11.51,5,14.32,1:25.14,3,9.18,1:09.58
1,9.11,1:18.42,2,10.38,1:19.88,3,10.68,1:22.19,4,12.72,1:37.86,5,33.08,1:42.66
1,9.61,1:28.03,2,10.07,1:29.95,3,11.15,1:33.34,4,15.29,1:53.15,5,18.56,2:01.22
