David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Thomas PEARCE POSITION,Thomas PEARCE LAP TIME,Thomas PEARCE ELAPSED TIME,Janis PIUSS POSITION,Janis PIUSS LAP TIME,Janis PIUSS ELAPSED TIME,Azamat NURMAGAMBETOV POSITION,Azamat NURMAGAMBETOV LAP TIME,Azamat NURMAGAMBETOV ELAPSED TIME,Petar PETROV POSITION,Petar PETROV LAP TIME,Petar PETROV ELAPSED TIME
1,8.35,8.35,2,8.36,8.36,4,8.66,8.66,6,8.88,8.88,3,8.54,8.54,5,8.81,8.81
1,13.32,21.67,2,13.56,21.93,6,13.88,22.55,3,13.20,22.09,4,13.56,22.11,5,13.61,22.43
1,12.88,34.56,2,12.72,34.65,3,12.25,34.80,5,12.85,34.94,4,12.72,34.84,6,12.83,35.26
1,12.81,47.37,3,12.84,47.50,2,12.66,47.47,5,12.86,47.80,4,12.96,47.80,6,12.64,47.91
1,12.87,1:00.24,5,13.12,1:00.62,2,12.83,1:00.31,4,12.76,1:00.56,3,12.69,1:00.50,6,12.92,1:00.83
2,11.79,1:12.04,3,11.48,1:12.10,1,11.66,1:11.97,4,11.61,1:12.17,5,11.69,1:12.19,6,11.52,1:12.36
1,11.42,1:23.46,6,11.87,1:23.98,2,11.71,1:23.69,3,11.68,1:23.85,4,11.74,1:23.93,5,11.57,1:23.94
1,11.10,1:34.57,2,10.70,1:34.68,4,11.08,1:34.77,5,11.02,1:34.87,3,10.83,1:34.77,6,11.16,1:35.11
2,10.14,1:44.71,1,9.80,1:44.48,5,10.25,1:45.02,3,10.01,1:44.89,4,10.11,1:44.89,6,9.91,1:45.03
1,10.06,1:54.77,2,10.31,1:54.80,4,9.90,1:54.93,5,10.09,1:54.99,3,9.90,1:54.80,6,10.12,1:55.16
2,9.90,2:04.68,1,9.77,2:04.57,5,9.91,2:04.84,4,9.72,2:04.71,3,9.87,2:04.68,6,9.84,2:05.00
2,9.46,2:14.14,1,9.37,2:13.94,5,9.57,2:14.42,4,9.60,2:14.32,3,9.59,2:14.27,6,9.99,2:14.99
2,9.36,2:23.50,1,9.34,2:23.29,4,9.61,2:24.04,5,9.73,2:24.06,3,9.69,2:23.96,6,10.81,2:25.81
2,9.66,2:33.155,1,9.73,2:33.014,0,,DQ,4,11.46,2:35.519,3,10.01,2:33.964,5,12.21,2:38.017
