Eric BEDARD POSITION,Eric BEDARD LAP TIME,Eric BEDARD ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME,YEO Jun-Hyung POSITION,YEO Jun-Hyung LAP TIME,YEO Jun-Hyung ELAPSED TIME
2,13.507,13.507,1,13.371,13.371,3,13.605,13.605,4,13.766,13.766
1,9.553,23.060,2,9.901,23.272,4,9.724,23.328,3,9.517,23.282
2,9.619,32.679,4,9.745,33.016,1,9.251,32.578,3,9.474,32.756
4,9.964,42.642,1,9.049,42.065,3,9.972,42.549,2,9.728,42.483
1,9.307,51.949,2,9.930,51.994,4,9.556,52.105,3,9.574,52.056
3,9.595,1:01.544,4,9.569,1:01.563,1,9.284,1:01.389,2,9.483,1:01.539
3,9.551,1:11.094,1,9.251,1:10.814,4,9.753,1:11.142,2,9.325,1:10.863
4,9.593,1:20.686,1,9.322,1:20.135,3,9.492,1:20.633,2,9.615,1:20.478
3,9.74,1:30.422,2,10.25,1:30.382,0,,DQ,1,9.82,1:30.298
