Aleksandr KOVAL POSITION,Aleksandr KOVAL LAP TIME,Aleksandr KOVAL ELAPSED TIME,Alex BRYANT POSITION,Alex BRYANT LAP TIME,Alex BRYANT ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Tarik OMERAGIC POSITION,Tarik OMERAGIC LAP TIME,Tarik OMERAGIC ELAPSED TIME
1,15.28,15.28,2,15.82,15.82,3,16.07,16.07,4,17.10,17.10
1,9.67,24.95,2,9.42,25.24,4,9.67,25.74,3,8.15,25.25
2,9.75,34.70,3,9.68,34.92,4,9.70,35.44,1,9.40,34.65
2,9.56,44.26,1,9.29,44.21,3,9.63,45.07,4,10.49,45.14
1,9.49,53.75,2,9.68,53.89,3,9.39,54.46,4,9.82,54.96
1,9.41,1:03.16,2,9.39,1:03.28,3,8.99,1:03.45,4,9.89,1:04.85
1,9.07,1:12.23,2,9.47,1:12.75,3,9.38,1:12.83,4,10.21,1:15.06
1,9.42,1:21.65,3,9.57,1:22.32,2,9.26,1:22.09,4,10.32,1:25.38
1,9.44,1:31.083,3,9.89,1:32.204,2,9.13,1:31.211,4,11.17,1:36.541
