Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME,Maaike VOS POSITION,Maaike VOS LAP TIME,Maaike VOS ELAPSED TIME
1,7.25,7.25,3,7.53,7.53,4,7.56,7.56,2,7.48,7.48
1,9.78,17.03,2,9.85,17.39,3,9.91,17.47,4,10.00,17.49
1,9.52,26.56,2,9.58,26.98,3,9.66,27.13,4,9.84,27.34
1,9.68,36.25,2,9.49,36.47,4,15.37,42.51,3,9.19,36.53
2,10.17,46.420,1,9.68,46.146,0,,DQ,3,10.18,46.702
