Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
1,8.79,8.79,5,9.20,9.20,2,8.93,8.93,3,9.05,9.05,6,9.35,9.35,4,9.09,9.09
2,12.90,21.69,5,12.77,21.97,3,12.88,21.81,4,12.84,21.89,6,12.75,22.10,1,12.52,21.61
2,12.58,34.27,5,12.68,34.65,3,12.59,34.40,4,12.64,34.53,6,12.68,34.78,1,12.48,34.09
2,12.10,46.37,6,12.10,46.75,3,12.07,46.47,4,12.06,46.59,5,11.83,46.61,1,12.19,46.28
3,10.46,56.83,6,10.40,57.15,4,10.46,56.93,5,10.46,57.05,1,10.03,56.64,2,10.46,56.74
3,10.29,1:07.12,6,10.23,1:07.38,5,10.31,1:07.24,4,10.13,1:07.18,2,10.36,1:07.00,1,10.20,1:06.94
4,9.92,1:17.04,6,9.86,1:17.24,5,9.89,1:17.13,1,9.53,1:16.71,3,9.93,1:16.93,2,9.89,1:16.83
4,9.90,1:26.94,6,9.90,1:27.14,5,9.91,1:27.04,1,10.02,1:26.73,3,9.93,1:26.86,2,9.91,1:26.74
4,9.91,1:36.85,6,9.97,1:37.11,5,9.96,1:37.00,3,10.03,1:36.76,2,9.87,1:36.73,1,9.93,1:36.67
2,9.13,1:45.98,6,9.20,1:46.31,5,9.24,1:46.24,4,9.37,1:46.13,1,9.15,1:45.88,3,9.32,1:45.99
3,9.21,1:55.19,5,9.01,1:55.32,4,9.02,1:55.26,6,9.23,1:55.36,1,9.12,1:55.00,2,9.11,1:55.10
3,9.11,2:04.30,4,9.03,2:04.35,5,9.14,2:04.40,6,9.15,2:04.51,1,9.12,2:04.12,2,9.13,2:04.23
3,9.16,2:13.46,4,9.20,2:13.55,5,9.29,2:13.69,6,9.24,2:13.75,1,9.17,2:13.29,2,9.14,2:13.37
3,9.21,2:22.669,4,9.20,2:22.742,6,9.23,2:22.918,5,9.14,2:22.886,1,9.31,2:22.598,2,9.26,2:22.629
