LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,Eric BEDARD POSITION,Eric BEDARD LAP TIME,Eric BEDARD ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME
1,6.567,6.567,2,6.883,6.883,3,6.926,6.926,4,6.950,6.950
1,9.259,15.826,3,9.119,16.002,2,9.058,15.983,4,9.126,16.076
3,9.006,24.832,2,8.792,24.793,1,8.766,24.749,4,8.854,24.929
3,8.967,33.798,4,9.021,33.814,1,8.840,33.589,2,8.677,33.606
4,9.24,43.029,3,9.08,42.893,1,9.07,42.659,2,9.14,42.737
