Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME
3,13.40,13.40,4,13.41,13.41,1,13.21,13.21,2,13.22,13.22
2,9.80,23.21,3,9.91,23.32,4,10.17,23.39,1,9.86,23.09
3,9.84,33.06,4,9.96,33.29,2,9.67,33.06,1,9.85,32.94
1,9.82,42.88,4,9.99,43.29,3,10.04,43.11,2,10.02,42.97
1,10.08,52.96,4,10.07,53.36,2,9.99,53.10,3,10.19,53.16
2,10.16,1:03.13,4,9.98,1:03.35,1,9.97,1:03.07,3,10.05,1:03.22
1,10.11,1:13.24,4,10.20,1:13.56,3,10.46,1:13.54,2,10.29,1:13.52
3,10.61,1:23.86,1,9.90,1:23.46,2,10.04,1:23.58,4,10.49,1:24.01
3,10.53,1:34.383,1,10.29,1:33.742,2,10.76,1:34.337,4,10.57,1:34.578
