CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME
2,13.81,13.81,1,13.67,13.67,3,13.91,13.91,4,14.04,14.04
2,11.00,24.81,1,11.02,24.69,3,10.99,24.90,4,10.95,24.99
2,10.82,35.63,1,10.82,35.51,3,10.81,35.71,4,10.83,35.82
2,10.51,46.14,1,10.50,46.01,3,10.52,46.23,4,10.53,46.35
2,10.33,56.47,1,10.34,56.35,3,10.32,56.55,4,10.34,56.69
2,10.03,1:06.50,1,10.03,1:06.38,3,10.02,1:06.57,4,9.96,1:06.65
1,9.45,1:15.95,2,9.63,1:16.01,3,9.56,1:16.13,4,9.73,1:16.38
1,9.13,1:25.08,2,9.51,1:25.52,3,9.46,1:25.59,4,9.58,1:25.96
1,9.52,1:34.595,2,9.68,1:35.196,3,9.75,1:35.333,4,9.59,1:35.543
