Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
3,7.20,7.20,1,6.86,6.86,2,6.86,6.86,4,7.22,7.22
4,9.15,16.35,2,9.08,15.94,1,8.91,15.77,3,8.97,16.19
4,8.67,25.02,2,8.46,24.40,1,8.49,24.26,3,8.31,24.50
4,8.70,33.72,2,8.55,32.95,1,8.49,32.75,3,8.58,33.08
4,8.96,42.672,3,9.01,41.952,1,8.75,41.493,2,8.61,41.688
