Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
1,12.59,12.59,2,12.65,12.65,4,12.80,12.80,3,12.80,12.80
1,9.63,22.22,2,9.67,22.32,3,9.64,22.44,4,9.67,22.47
1,10.00,32.22,2,9.97,32.29,3,9.92,32.36,4,10.06,32.53
2,9.69,41.91,1,9.51,41.80,3,9.55,41.91,4,9.51,42.04
2,9.42,51.33,1,9.42,51.22,4,9.71,51.62,3,9.41,51.45
2,9.62,1:00.95,1,9.64,1:00.86,4,9.68,1:01.30,3,9.64,1:01.09
2,9.64,1:10.59,1,9.62,1:10.48,4,9.76,1:11.06,3,9.70,1:10.79
2,9.62,1:20.21,1,9.66,1:20.14,3,9.70,1:20.76,4,9.99,1:20.78
2,9.84,1:30.045,1,9.79,1:29.926,3,10.08,1:30.832,4,10.33,1:31.108
