Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
1,13.49,13.49,4,13.79,13.79,2,13.58,13.58,3,13.63,13.63
1,10.11,23.60,4,10.04,23.83,2,10.05,23.63,3,10.03,23.66
1,9.76,33.36,3,9.65,33.48,4,9.88,33.51,2,9.71,33.37
3,9.49,42.85,4,9.48,42.96,1,9.12,42.63,2,9.39,42.76
3,9.11,51.96,4,9.09,52.05,1,9.12,51.75,2,9.10,51.86
3,8.99,1:00.95,4,8.98,1:01.03,1,9.00,1:00.75,2,8.98,1:00.84
3,8.84,1:09.79,4,8.84,1:09.87,1,8.87,1:09.62,2,8.86,1:09.70
3,8.94,1:18.73,4,8.87,1:18.74,1,8.98,1:18.60,2,8.97,1:18.67
3,9.09,1:27.811,1,8.85,1:27.581,2,9.00,1:27.596,4,9.21,1:27.873
