Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Andrey MIKHASEV POSITION,Andrey MIKHASEV LAP TIME,Andrey MIKHASEV ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME
2,6.92,6.92,1,6.83,6.83,4,7.27,7.27,3,7.09,7.09
2,9.11,16.03,1,9.14,15.97,4,9.10,16.37,3,8.97,16.06
3,8.88,24.91,1,8.75,24.72,4,8.70,25.07,2,8.77,24.83
3,9.14,34.05,1,9.02,33.74,4,9.08,34.15,2,9.02,33.85
2,9.01,43.057,3,9.32,43.057,4,9.01,43.154,1,8.97,42.816
