MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Liudmila TSARYKAVA POSITION,Liudmila TSARYKAVA LAP TIME,Liudmila TSARYKAVA ELAPSED TIME,Marta PASKEVICA POSITION,Marta PASKEVICA LAP TIME,Marta PASKEVICA ELAPSED TIME
2,15.42,15.42,1,15.30,15.30,3,15.56,15.56,4,15.63,15.63,5,15.77,15.77
2,11.81,27.23,1,11.82,27.12,3,11.79,27.35,4,11.74,27.37,5,11.83,27.60
1,10.79,38.02,2,11.01,38.13,4,11.04,38.39,3,10.87,38.24,5,10.95,38.55
1,10.31,48.33,2,10.29,48.42,3,10.05,48.44,4,10.26,48.50,5,10.04,48.59
1,9.63,57.96,3,9.79,58.21,2,9.63,58.07,4,9.82,58.32,5,9.86,58.45
1,9.48,1:07.44,3,9.52,1:07.73,2,9.48,1:07.55,4,9.60,1:07.92,5,9.84,1:08.29
1,9.59,1:17.03,3,9.57,1:17.30,2,9.56,1:17.11,4,10.00,1:17.92,5,10.16,1:18.45
1,10.08,1:27.11,3,10.02,1:27.32,2,10.00,1:27.11,4,10.56,1:28.48,5,10.55,1:29.00
2,10.25,1:37.360,3,10.12,1:37.432,1,10.04,1:37.148,4,10.91,1:39.383,5,10.93,1:39.925
