Vera TRYBUL POSITION,Vera TRYBUL LAP TIME,Vera TRYBUL ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME
3,15.14,15.14,2,15.01,15.01,4,15.23,15.23,1,14.91,14.91
3,12.76,27.90,2,12.73,27.74,4,12.81,28.04,1,12.71,27.62
1,11.93,39.83,3,12.19,39.93,4,11.98,40.02,2,12.22,39.84
1,10.77,50.60,3,10.88,50.81,4,10.93,50.95,2,10.88,50.72
1,11.10,1:01.70,3,11.01,1:01.82,4,11.03,1:01.98,2,11.02,1:01.74
1,10.24,1:11.94,3,10.35,1:12.17,4,10.43,1:12.41,2,10.37,1:12.11
1,10.01,1:21.95,2,9.89,1:22.06,4,10.22,1:22.63,3,10.18,1:22.29
1,10.08,1:32.03,2,10.06,1:32.12,4,10.38,1:33.01,3,10.07,1:32.36
0,,PHOTO,0,,PHOTO,3,10.79,1:43.771,4,10.10,1:56.594
