Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
2,12.84,12.84,1,12.75,12.75,3,12.91,12.91,4,13.04,13.04
1,9.88,22.72,2,10.04,22.79,4,10.06,22.97,3,9.87,22.91
1,9.53,32.25,2,9.56,32.35,4,9.59,32.56,3,9.52,32.43
1,9.37,41.62,2,9.35,41.70,4,9.34,41.90,3,9.27,41.70
1,9.00,50.62,3,9.21,50.91,4,9.15,51.05,2,9.17,50.87
1,8.98,59.60,3,9.26,1:00.17,2,8.87,59.92,4,16.47,1:07.34
1,8.98,1:08.58,3,8.89,1:09.06,2,8.73,1:08.65,4,14.03,1:21.37
1,8.99,1:17.57,3,9.08,1:18.14,2,8.99,1:17.64,4,11.71,1:33.08
1,9.36,1:26.930,0,,PEN,2,9.37,1:27.011,3,11.50,1:44.576
