AUSTRALIA POSITION,AUSTRALIA LAP TIME,AUSTRALIA ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME
2,12.449,12.449,1,11.800,11.800,3,12.638,12.638
2,10.041,22.490,1,9.497,21.296,3,10.027,22.665
2,10.015,32.505,1,9.419,30.715,3,9.979,32.643
2,9.988,42.493,1,9.394,40.108,3,10.068,42.710
3,10.389,52.882,1,9.462,49.570,2,10.067,52.777
3,9.589,1:02.470,1,9.813,59.383,2,9.079,1:01.856
3,9.643,1:12.113,1,10.033,1:09.416,2,10.111,1:11.967
3,9.937,1:22.050,1,10.080,1:19.495,2,9.628,1:21.594
3,9.406,1:31.455,1,10.011,1:29.505,2,9.759,1:31.352
3,9.958,1:41.413,1,10.041,1:39.546,2,9.846,1:41.198
3,9.459,1:50.871,1,9.695,1:49.241,2,9.569,1:50.767
3,9.787,2:00.657,1,9.777,1:59.018,2,9.741,2:00.507
3,9.749,2:10.405,1,9.360,2:08.377,2,9.748,2:10.254
3,10.010,2:20.415,1,9.987,2:18.363,2,9.938,2:20.192
3,9.992,2:30.407,1,9.951,2:28.314,2,10.136,2:30.328
2,10.065,2:40.471,1,9.685,2:37.998,3,10.216,2:40.544
1,9.377,2:49.847,3,19.296,2:57.294,2,9.618,2:50.161
2,9.42,2:59.263,1,0.16,2:57.449,0,,DQ
