CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,Nihad BASIC POSITION,Nihad BASIC LAP TIME,Nihad BASIC ELAPSED TIME,KIM Un Hyok POSITION,KIM Un Hyok LAP TIME,KIM Un Hyok ELAPSED TIME
4,13.67,13.67,5,13.78,13.78,2,13.40,,1,13.32,13.32,3,13.52,13.52
4,9.85,23.52,5,9.86,23.64,2,9.88,,1,9.88,23.20,3,9.87,23.39
4,10.00,33.52,5,9.96,33.60,2,10.02,,1,10.03,33.23,3,10.03,33.42
4,10.01,43.53,5,10.05,43.65,2,10.05,,1,10.09,43.32,3,10.07,43.49
3,18.32,1:01.85,1,9.68,53.33,4,26.68,,5,36.30,1:19.62,2,9.98,53.47
3,13.19,1:15.04,1,9.59,1:02.92,4,12.88,,5,15.07,1:34.69,2,9.55,1:03.02
3,12.03,1:27.07,1,9.23,1:12.15,4,11.54,,5,13.19,1:47.88,2,9.44,1:12.46
3,12.40,1:39.47,1,9.36,1:21.51,4,11.62,,5,12.27,2:00.15,2,9.95,1:22.41
3,12.21,1:51.68,1,9.62,1:31.13,4,11.99,,5,12.19,2:12.34,2,10.22,1:32.63
