WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,SELLIER Diane POSITION,SELLIER Diane LAP TIME,SELLIER Diane ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME
1,6.66,6.66,3,6.95,6.95,2,6.82,6.82,5,7.21,7.21,4,7.10,7.10
1,8.62,15.28,3,8.58,15.53,2,8.61,15.43,5,8.97,16.18,4,8.65,15.75
1,8.14,23.42,3,8.24,23.77,2,8.08,23.51,5,8.38,24.56,4,8.26,24.01
2,8.28,31.70,3,8.27,32.04,1,8.09,31.60,5,8.44,33.00,4,8.21,32.22
2,8.53,40.23,0,8.66,40.70,1,8.48,40.08,5,8.63,41.639,4,8.50,40.721
