Artem DERKACH POSITION,Artem DERKACH LAP TIME,Artem DERKACH ELAPSED TIME,Hazim SHAHRUM POSITION,Hazim SHAHRUM LAP TIME,Hazim SHAHRUM ELAPSED TIME,Bor Luka URLEP POSITION,Bor Luka URLEP LAP TIME,Bor Luka URLEP ELAPSED TIME,Gibson Laurent HIMBEAULT POSITION,Gibson Laurent HIMBEAULT LAP TIME,Gibson Laurent HIMBEAULT ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME
2,13.49,13.49,4,13.61,13.61,5,13.77,13.77,3,13.60,13.60,1,13.37,13.37
2,10.19,23.68,4,10.45,24.06,5,10.32,24.09,3,10.15,23.75,1,10.17,23.54
2,9.41,33.09,5,10.23,34.29,4,9.44,33.53,3,9.42,33.17,1,9.39,32.93
2,8.95,42.04,5,10.49,44.78,4,9.62,43.15,3,8.95,42.12,1,8.97,41.90
2,8.92,50.96,5,10.53,55.31,4,9.94,53.09,3,8.93,51.05,1,8.92,50.82
2,9.02,59.98,5,10.68,1:05.99,4,10.37,1:03.46,3,9.02,1:00.07,1,9.03,59.85
2,9.21,1:09.19,5,11.29,1:17.28,4,11.10,1:14.56,3,9.19,1:09.26,1,9.29,1:09.14
1,9.58,1:18.77,5,12.34,1:29.62,4,11.26,1:25.82,2,9.64,1:18.90,3,10.03,1:19.17
1,9.75,1:28.52,5,12.03,1:41.65,4,11.34,1:37.16,2,9.87,1:28.77,3,10.35,1:29.52
