BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Paul BEAUCHAMP POSITION,Paul BEAUCHAMP LAP TIME,Paul BEAUCHAMP ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME
1,6.76,6.76,3,7.04,7.04,2,6.88,6.88,4,7.19,7.19,5,7.37,7.37
2,9.00,15.76,3,8.83,15.87,1,8.82,15.70,4,9.05,16.24,5,8.97,16.34
3,8.67,24.43,2,8.43,24.30,1,8.37,24.07,4,8.86,25.10,5,8.84,25.18
3,8.56,32.99,2,8.44,32.74,1,8.39,32.46,4,8.86,33.96,5,8.87,34.05
3,8.88,41.87,2,8.60,41.34,1,8.65,41.11,4,9.28,43.227,5,9.25,43.301
