Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,LI Haonan POSITION,LI Haonan LAP TIME,LI Haonan ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
2,6.71,6.71,1,6.67,6.67,3,6.87,6.87,4,7.17,7.17
2,9.01,15.73,1,9.02,15.69,3,9.23,16.10,4,9.07,16.24
1,8.45,24.18,2,8.96,24.66,3,8.61,24.72,4,8.67,24.92
1,8.94,33.12,2,8.83,33.49,3,8.88,33.60,4,9.22,34.14
1,9.28,42.395,2,9.16,42.645,3,9.26,42.851,4,9.31,43.443
