Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,Nikolay STANCHEV POSITION,Nikolay STANCHEV LAP TIME,Nikolay STANCHEV ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME
1,14.232,14.232,2,14.326,14.326,3,14.416,14.416,4,14.582,14.582
2,11.502,25.734,3,11.432,25.757,4,11.611,26.026,1,11.135,25.717
3,10.058,35.791,2,10.007,35.763,4,9.869,35.895,1,9.960,35.676
2,9.564,45.355,1,9.449,45.212,3,9.544,45.439,4,9.774,45.450
1,9.423,54.778,2,9.693,54.905,3,9.496,54.934,4,9.606,55.056
2,9.320,1:04.097,1,9.064,1:03.968,4,23.187,1:18.121,3,9.225,1:04.281
2,9.207,1:13.304,1,9.249,1:13.217,4,21.514,1:39.635,3,9.283,1:13.563
2,9.222,1:22.526,1,9.269,1:22.486,4,11.804,1:51.438,3,9.641,1:23.204
2,9.84,1:32.359,1,9.46,1:31.946,4,12.06,2:03.496,3,10.36,1:33.561
