Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
6,9.20,9.20,4,8.83,8.83,2,8.68,8.68,3,8.69,8.69,5,8.99,8.99,1,8.47,8.47
6,10.92,20.12,4,10.92,19.75,3,10.96,19.64,2,10.82,19.51,5,10.89,19.88,1,10.92,19.39
6,10.34,30.46,4,10.36,30.11,3,10.38,30.02,2,10.39,29.90,5,10.34,30.22,1,10.41,29.80
6,10.44,40.90,4,10.47,40.58,3,10.47,40.49,2,10.46,40.36,5,10.47,40.69,1,10.48,40.28
6,10.57,51.47,4,10.41,50.99,2,10.24,50.73,3,10.41,50.77,5,10.44,51.13,1,10.39,50.67
6,10.53,1:02.00,4,10.06,1:01.05,2,10.08,1:00.81,3,10.15,1:00.92,5,10.05,1:01.18,1,9.97,1:00.64
6,10.79,1:12.79,4,9.92,1:10.97,2,9.93,1:10.74,3,9.94,1:10.86,5,9.91,1:11.09,1,9.94,1:10.58
6,11.18,1:23.97,4,9.85,1:20.82,2,9.83,1:20.57,3,9.84,1:20.70,5,9.82,1:20.91,1,9.86,1:20.44
6,11.42,1:35.39,4,9.60,1:30.42,2,9.68,1:30.25,3,9.62,1:30.32,5,9.61,1:30.52,1,9.67,1:30.11
6,12.50,1:47.89,4,9.50,1:39.92,2,9.49,1:39.74,3,9.46,1:39.78,5,9.51,1:40.03,1,9.54,1:39.65
4,12.43,2:00.32,2,9.30,1:49.22,6,34.08,2:13.82,5,28.45,2:08.23,3,9.48,1:49.51,1,9.48,1:49.13
4,11.93,2:12.25,2,9.42,1:58.64,6,16.30,2:30.12,5,15.78,2:24.01,3,9.65,1:59.16,1,9.47,1:58.60
4,12.06,2:24.31,1,9.18,2:07.82,6,13.30,2:43.42,5,11.18,2:35.19,3,10.08,2:09.24,2,9.50,2:08.10
4,12.01,2:36.319,1,9.58,2:17.397,5,12.13,2:55.550,0,,PEN,3,10.33,2:19.561,2,9.68,2:17.774
