Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
1,12.74,12.74,2,12.82,12.82,4,12.90,12.90,3,12.90,12.90
1,9.47,22.21,2,9.51,22.33,4,9.59,22.49,3,9.50,22.40
1,9.43,31.64,2,9.39,31.72,4,9.42,31.91,3,9.40,31.80
1,9.46,41.10,2,9.51,41.23,4,9.53,41.44,3,9.52,41.32
1,9.26,50.36,2,9.24,50.47,4,9.20,50.64,3,9.22,50.54
1,9.09,59.45,2,9.06,59.53,4,9.03,59.67,3,9.06,59.60
1,8.82,1:08.27,2,8.84,1:08.37,4,8.88,1:08.55,3,8.86,1:08.46
1,8.70,1:16.97,3,8.70,1:17.07,4,8.69,1:17.24,2,8.56,1:17.02
3,8.85,1:25.815,2,8.72,1:25.785,4,8.78,1:26.020,1,8.73,1:25.749
