SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
5,8.53,8.53,3,8.25,8.25,2,8.25,8.25,1,8.19,8.19,6,8.89,8.89,4,8.45,8.45
3,11.17,19.70,1,10.90,19.16,5,11.58,19.84,4,11.63,19.82,6,11.13,20.02,2,11.22,19.67
5,10.79,30.50,1,10.86,30.03,3,10.43,30.27,4,10.46,30.29,6,10.66,30.69,2,10.48,30.15
3,10.32,40.82,1,10.32,40.36,6,25.84,56.12,5,17.63,47.93,4,10.21,40.90,2,10.32,40.48
3,10.60,51.42,1,10.97,51.33,6,13.16,1:09.28,5,11.27,59.20,4,10.78,51.68,2,10.91,51.40
2,10.79,1:02.22,3,10.91,1:02.25,6,12.23,1:21.51,5,11.12,1:10.33,1,10.49,1:02.17,4,10.94,1:02.34
2,9.85,1:12.07,1,9.66,1:11.91,6,10.98,1:32.50,5,11.36,1:21.69,4,10.08,1:12.26,3,9.84,1:12.19
2,9.37,1:21.44,1,9.32,1:21.24,6,9.72,1:42.22,5,10.27,1:31.97,4,9.53,1:21.79,3,9.41,1:21.61
2,9.90,1:31.34,1,9.90,1:31.15,6,9.54,1:51.77,5,9.69,1:41.67,4,9.82,1:31.62,3,9.94,1:31.55
2,9.94,1:41.29,1,10.08,1:41.23,6,10.68,2:02.46,5,9.73,1:51.40,3,9.69,1:41.31,4,9.82,1:41.37
1,9.06,1:50.35,2,9.12,1:50.36,6,11.93,2:14.39,5,9.96,2:01.36,3,9.06,1:50.38,4,9.32,1:50.69
2,8.95,1:59.31,3,9.08,1:59.44,6,11.91,2:26.31,5,10.53,2:11.89,1,8.76,1:59.15,4,9.46,2:00.16
2,9.08,2:08.39,3,9.21,2:08.66,6,12.18,2:38.49,5,11.33,2:23.22,1,8.87,2:08.02,4,10.34,2:10.50
2,9.80,2:18.186,3,11.10,2:19.751,0,,DQ,5,12.52,2:35.736,1,9.46,2:17.475,4,12.31,2:22.810
