Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME
4,11.87,11.87,2,11.63,11.63,5,12.00,12.00,3,11.72,11.72,1,11.53,11.53
4,16.56,28.43,3,16.71,28.34,5,16.53,28.53,2,16.48,28.20,1,16.53,28.06
4,14.66,43.09,3,14.60,42.94,5,14.68,43.21,1,14.36,42.56,2,14.67,42.73
2,12.34,55.43,4,12.61,55.55,5,12.51,55.72,1,12.80,55.36,3,12.73,55.46
1,10.72,1:06.15,3,10.71,1:06.26,5,10.87,1:06.59,4,11.00,1:06.36,2,10.79,1:06.25
1,10.05,1:16.20,2,10.00,1:16.26,5,9.98,1:16.57,4,10.11,1:16.47,3,10.13,1:16.38
1,9.55,1:25.75,3,9.57,1:25.83,5,9.54,1:26.11,2,9.34,1:25.81,4,9.58,1:25.96
2,9.17,1:34.92,3,9.20,1:35.03,5,9.10,1:35.21,1,9.07,1:34.88,4,9.15,1:35.11
2,9.48,1:44.40,3,9.46,1:44.49,5,9.54,1:44.75,1,9.43,1:44.31,4,9.54,1:44.65
1,9.02,1:53.42,3,9.13,1:53.62,5,9.21,1:53.96,2,9.26,1:53.57,4,9.26,1:53.91
1,9.00,2:02.42,3,9.01,2:02.63,5,9.17,2:03.13,2,8.99,2:02.56,4,9.20,2:03.11
1,8.88,2:11.30,2,8.77,2:11.40,4,9.21,2:12.34,3,9.01,2:11.57,5,9.50,2:12.61
1,8.92,2:20.22,2,8.93,2:20.33,4,9.42,2:21.76,3,9.20,2:20.77,5,9.86,2:22.47
1,9.23,2:29.450,2,9.20,2:29.523,4,9.85,2:31.604,3,9.90,2:30.666,5,10.05,2:32.519
