Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Rosalie HUISMAN POSITION,Rosalie HUISMAN LAP TIME,Rosalie HUISMAN ELAPSED TIME
1,14.09,14.09,4,14.38,14.38,5,14.41,14.41,2,14.19,14.19,3,14.27,14.27
2,10.48,24.57,5,10.45,24.83,1,9.96,24.37,3,10.48,24.67,4,10.47,24.74
2,10.36,34.93,4,10.18,35.01,1,10.43,34.80,3,10.30,34.97,5,10.36,35.10
3,10.09,45.02,5,10.25,45.26,1,9.98,44.78,2,9.93,44.90,4,10.00,45.10
3,10.10,55.12,5,10.03,55.29,1,10.14,54.92,2,10.13,55.03,4,10.03,55.13
4,24.07,1:19.19,3,10.39,1:05.68,1,10.16,1:05.08,2,10.16,1:05.19,5,27.12,1:22.25
4,15.00,1:34.19,3,10.16,1:15.84,1,9.99,1:15.07,2,9.99,1:15.18,5,19.49,1:41.74
4,12.93,1:47.12,3,10.26,1:26.10,1,9.72,1:24.79,2,9.67,1:24.85,5,15.20,1:56.94
4,12.74,1:59.852,3,10.47,1:36.570,1,9.85,1:34.631,2,9.89,1:34.737,5,15.59,2:12.530
