Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Sebastian KLOSINSKI POSITION,Sebastian KLOSINSKI LAP TIME,Sebastian KLOSINSKI ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME
2,7.18,7.18,1,7.03,7.03,4,7.30,7.30,3,7.29,7.29
4,9.84,17.02,1,9.20,16.23,2,9.16,16.46,3,9.35,16.64
4,8.66,25.68,1,8.89,25.12,2,8.78,25.24,3,8.70,25.34
4,8.77,34.45,1,8.97,34.09,2,9.00,34.24,3,8.91,34.25
2,8.99,43.440,1,9.26,43.346,0,,PEN,3,11.92,46.168
