Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME
2,13.57,13.57,3,13.65,13.65,1,13.47,13.47,4,13.77,13.77
3,10.56,24.13,1,10.22,23.87,2,10.54,24.01,4,10.47,24.24
3,9.87,34.00,1,9.95,33.82,2,9.90,33.91,4,9.83,34.07
3,9.96,43.96,1,9.91,43.73,2,9.95,43.86,4,9.98,44.05
4,9.71,53.67,1,9.61,53.34,2,9.58,53.44,3,9.47,53.52
4,9.23,1:02.90,2,9.36,1:02.70,1,9.15,1:02.59,3,9.25,1:02.77
4,9.13,1:12.03,2,9.13,1:11.83,1,9.13,1:11.72,3,9.16,1:11.93
4,9.01,1:21.04,2,9.12,1:20.95,1,8.97,1:20.69,3,9.09,1:21.02
2,9.10,1:30.138,3,9.35,1:30.300,1,9.12,1:29.808,4,9.40,1:30.415
