LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME
2,12.44,12.44,3,12.50,12.50,1,12.43,12.43,4,12.75,12.75
2,9.57,22.01,4,9.73,22.23,1,9.47,21.90,3,9.36,22.11
2,9.49,31.50,4,9.44,31.67,1,9.54,31.44,3,9.49,31.60
1,9.10,40.60,2,9.02,40.69,4,9.40,40.84,3,9.16,40.76
1,8.84,49.44,2,8.84,49.53,4,8.95,49.79,3,8.88,49.64
1,8.96,58.40,2,8.95,58.48,4,8.87,58.66,3,8.94,58.58
2,8.94,1:07.34,1,8.77,1:07.25,4,8.73,1:07.39,3,8.76,1:07.34
4,30.62,1:37.96,1,9.25,1:16.50,2,19.80,1:27.19,3,24.60,1:31.94
4,16.13,1:54.090,1,11.38,1:27.879,2,12.37,1:39.560,3,12.07,1:44.009
