Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME
3,9.76,9.76,1,9.44,9.44,4,9.91,9.91,5,10.05,10.05,2,9.60,9.60
3,12.42,22.18,1,12.44,21.88,4,12.45,22.36,5,12.46,22.51,2,12.42,22.02
3,11.14,33.32,1,11.14,33.02,4,11.15,33.51,5,11.12,33.63,2,11.12,33.14
3,10.52,43.84,1,10.64,43.66,4,10.47,43.98,5,10.46,44.09,2,10.60,43.74
3,10.52,54.36,1,10.49,54.15,4,10.52,54.50,5,10.51,54.60,2,10.52,54.26
3,10.43,1:04.79,1,10.43,1:04.58,4,10.40,1:04.90,5,10.41,1:05.01,2,10.42,1:04.68
2,10.09,1:14.88,1,10.23,1:14.81,4,10.10,1:15.00,5,10.18,1:15.19,3,10.21,1:14.89
1,9.17,1:24.05,3,9.43,1:24.24,2,9.15,1:24.15,5,9.29,1:24.48,4,9.46,1:24.35
1,9.13,1:33.18,3,9.14,1:33.38,2,9.15,1:33.30,5,9.10,1:33.58,4,9.05,1:33.40
2,9.10,1:42.28,5,9.54,1:42.92,1,8.96,1:42.26,4,9.07,1:42.65,3,9.24,1:42.64
2,9.11,1:51.39,5,8.94,1:51.86,1,9.01,1:51.27,3,8.77,1:51.42,4,9.14,1:51.78
3,9.08,2:00.47,5,14.54,2:06.40,1,8.97,2:00.24,2,8.83,2:00.25,4,9.31,2:01.09
3,9.11,2:09.58,5,19.40,2:25.80,2,9.16,2:09.40,1,9.01,2:09.26,4,9.93,2:11.02
3,9.36,2:18.94,5,13.86,2:39.660,2,9.30,2:18.70,1,9.27,2:18.53,4,10.53,2:21.550
