Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME
1,9.23,9.23,3,9.35,9.35,4,9.56,9.56,6,9.81,9.81,5,9.67,9.67,2,9.32,9.32
1,12.31,21.54,2,12.31,21.66,4,12.28,21.84,6,12.33,22.14,5,12.33,22.00,3,12.44,21.76
1,11.52,33.06,2,11.51,33.17,4,11.60,33.44,6,11.67,33.81,5,11.66,33.66,3,11.53,33.29
1,11.17,44.23,2,11.22,44.39,4,11.17,44.61,6,11.08,44.89,5,11.09,44.75,3,11.22,44.51
1,11.14,55.37,2,11.11,55.50,4,11.10,55.71,6,11.09,55.98,5,11.09,55.84,3,11.07,55.58
1,10.96,1:06.33,2,10.96,1:06.46,4,10.97,1:06.68,6,10.96,1:06.94,5,10.95,1:06.79,3,10.97,1:06.55
1,10.54,1:16.87,2,10.52,1:16.98,3,10.30,1:16.98,6,10.27,1:17.21,4,10.29,1:17.08,5,10.57,1:17.12
1,9.54,1:26.41,3,9.64,1:26.62,2,9.50,1:26.48,5,9.69,1:26.90,4,9.70,1:26.78,6,9.95,1:27.07
1,9.37,1:35.78,3,9.37,1:35.99,2,9.34,1:35.82,5,9.34,1:36.24,4,9.32,1:36.10,6,9.35,1:36.42
3,9.67,1:45.45,5,9.60,1:45.59,1,9.33,1:45.15,4,9.33,1:45.57,2,9.21,1:45.31,6,9.34,1:45.76
4,9.53,1:54.98,5,9.50,1:55.09,3,9.45,1:54.60,2,9.03,1:54.60,1,9.09,1:54.40,6,9.50,1:55.26
4,9.61,2:04.59,5,9.58,2:04.67,3,9.58,2:04.18,2,9.17,2:03.77,1,9.21,2:03.61,6,9.68,2:04.94
5,10.04,2:14.63,4,9.69,2:14.36,3,9.86,2:14.04,2,9.46,2:13.23,1,9.43,2:13.04,6,9.92,2:14.86
5,10.42,2:25.041,3,9.96,2:24.313,4,10.35,2:24.384,2,9.82,2:23.049,1,9.70,2:22.733,6,12.62,2:27.471
