Matus UZAK POSITION,Matus UZAK LAP TIME,Matus UZAK ELAPSED TIME,Thomas BAUER POSITION,Thomas BAUER LAP TIME,Thomas BAUER ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
1,8.325,8.325,5,8.655,8.655,4,8.620,8.620,2,8.335,8.335,3,8.594,8.594
3,11.904,20.229,5,12.166,20.821,4,11.941,20.561,2,11.742,20.076,1,11.482,20.075
2,11.778,32.007,5,11.610,32.430,4,11.614,32.175,3,11.970,32.045,1,11.785,31.860
2,11.809,43.816,5,11.689,44.118,4,11.842,44.016,3,11.862,43.907,1,11.906,43.765
1,10.470,54.285,5,10.349,54.467,3,10.416,54.431,2,10.408,54.314,4,10.684,54.449
2,9.959,1:04.244,3,10.042,1:04.509,4,10.140,1:04.571,1,9.868,1:04.182,5,10.186,1:04.635
2,10.150,1:14.393,5,10.326,1:14.834,3,9.997,1:14.568,1,10.201,1:14.382,4,10.155,1:14.789
1,9.991,1:24.384,5,10.220,1:25.054,3,10.178,1:24.746,2,10.043,1:24.425,4,10.105,1:24.893
2,9.769,1:34.153,4,9.584,1:34.638,3,9.497,1:34.242,1,9.498,1:33.922,5,9.969,1:34.862
1,9.577,1:43.730,4,9.631,1:44.269,3,9.678,1:43.920,2,9.857,1:43.778,5,9.951,1:44.813
1,9.831,1:53.560,4,9.695,1:53.964,2,9.722,1:53.641,3,9.886,1:53.664,5,10.385,1:55.198
1,9.940,2:03.500,4,10.210,2:04.173,3,10.067,2:03.708,2,9.916,2:03.579,5,10.818,2:06.015
2,10.199,2:13.699,4,10.496,2:14.669,3,10.036,2:13.744,1,10.069,2:13.648,5,11.418,2:17.433
2,10.62,2:24.314,4,11.01,2:25.677,3,10.59,2:24.333,1,10.55,2:24.196,5,12.12,2:29.546
