Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,JIN Sun-Yu POSITION,JIN Sun-Yu LAP TIME,JIN Sun-Yu ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME
2,8.664,8.664,4,8.897,8.897,3,8.853,8.853,5,8.993,8.993,6,9.116,9.116,1,8.600,8.600
3,12.411,21.074,6,12.460,21.356,2,12.203,21.055,4,12.239,21.232,5,12.192,21.307,1,12.298,20.898
5,11.143,32.217,6,10.879,32.235,3,10.846,31.900,2,10.576,31.807,4,10.634,31.941,1,10.889,31.786
5,10.565,42.782,6,10.697,42.932,1,10.506,42.406,4,10.850,42.657,3,10.692,42.633,2,10.683,42.469
5,10.776,53.557,6,10.940,53.872,2,10.876,53.282,3,10.719,53.376,4,10.916,53.548,1,10.670,53.138
5,11.281,1:04.837,4,10.876,1:04.747,1,11.327,1:04.608,6,11.496,1:04.872,2,11.188,1:04.735,3,11.601,1:04.739
5,11.172,1:16.009,3,11.142,1:15.889,2,11.213,1:15.820,6,11.491,1:16.362,4,11.218,1:15.953,1,10.919,1:15.658
3,9.984,1:25.992,5,10.261,1:26.150,1,9.885,1:25.705,6,9.824,1:26.186,4,10.065,1:26.017,2,10.275,1:25.932
3,9.964,1:35.956,6,9.990,1:36.139,5,10.410,1:36.114,2,9.770,1:35.955,4,9.977,1:35.994,1,9.856,1:35.787
6,10.180,1:46.135,2,9.242,1:45.380,3,9.350,1:45.463,1,9.314,1:45.269,5,10.022,1:46.016,4,9.752,1:45.539
6,10.399,1:56.533,4,10.040,1:55.420,2,9.679,1:55.142,1,9.628,1:54.897,5,9.522,1:55.537,3,9.693,1:55.231
6,11.112,2:07.645,2,9.733,2:05.153,3,10.084,2:05.225,1,9.868,2:04.764,4,10.064,2:05.600,5,10.488,2:05.719
6,11.663,2:19.307,2,9.876,2:15.028,1,9.716,2:14.940,5,11.203,2:15.966,4,10.307,2:15.906,3,9.371,2:15.090
6,11.99,2:31.289,1,9.41,2:24.436,3,9.89,2:24.822,2,8.56,2:24.524,5,10.70,2:26.604,4,10.13,2:25.213
