Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Vitaly MIKHEENKOV POSITION,Vitaly MIKHEENKOV LAP TIME,Vitaly MIKHEENKOV ELAPSED TIME
1,6.800,6.800,2,7.160,7.160,4,7.840,7.840,3,7.370,7.370
1,9.260,16.060,3,9.180,16.350,2,8.490,16.340,4,9.120,16.500
1,8.530,24.590,2,8.670,25.030,3,8.720,25.060,4,9.000,25.500
1,9.180,33.780,2,8.790,33.820,3,9.010,34.070,4,9.140,34.640
2,9.060,42.840,1,8.620,42.450,3,8.780,42.850,4,9.410,44.060
