OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME
2,7.22,7.22,4,7.52,7.52,3,7.45,7.45,1,7.07,7.07
2,9.20,16.42,4,9.44,16.96,3,9.11,16.56,1,8.98,16.05
2,8.68,25.10,4,8.85,25.81,3,8.62,25.18,1,8.60,24.65
3,9.00,34.10,4,9.06,34.87,2,8.92,34.10,1,8.74,33.39
3,9.40,43.496,4,9.42,44.288,2,8.86,42.956,1,8.93,42.319
