Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,SEO Ho-Jin POSITION,SEO Ho-Jin LAP TIME,SEO Ho-Jin ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Yoshiharu ARINO POSITION,Yoshiharu ARINO LAP TIME,Yoshiharu ARINO ELAPSED TIME
3,8.769,8.769,7,9.259,9.259,2,8.698,8.698,1,8.609,8.609,6,9.183,9.183,5,9.039,9.039,4,8.929,8.929
3,11.186,19.955,7,11.169,20.427,1,11.160,19.857,4,11.607,20.216,5,11.082,20.264,6,11.280,20.318,2,11.011,19.940
6,10.378,30.333,4,9.780,30.207,5,10.441,30.298,1,9.460,29.676,2,9.873,30.137,3,9.830,30.148,7,10.408,30.347
5,9.929,40.261,6,10.085,40.291,4,9.944,40.241,1,10.024,39.699,3,10.018,40.155,2,9.619,39.766,7,9.995,40.342
6,9.870,50.130,4,9.745,50.035,7,9.919,50.160,1,9.873,49.571,2,9.667,49.822,3,10.232,49.997,5,9.695,50.036
6,9.574,59.704,4,9.449,59.484,2,9.306,59.465,1,9.648,59.219,7,9.913,59.734,3,9.475,59.472,5,9.590,59.626
7,9.570,1:09.274,4,9.632,1:09.115,1,8.688,1:08.153,2,9.328,1:08.547,6,9.516,1:09.250,3,9.188,1:08.659,5,9.579,1:09.205
7,9.400,1:18.673,6,9.552,1:18.667,1,10.028,1:18.180,2,9.754,1:18.301,4,9.335,1:18.584,3,9.687,1:18.345,5,9.423,1:18.627
4,9.525,1:28.198,5,9.599,1:28.266,3,9.811,1:27.991,1,9.427,1:27.728,7,9.977,1:28.561,2,9.572,1:27.917,6,9.925,1:28.551
6,9.779,1:37.977,5,9.562,1:37.827,4,9.718,1:37.709,2,9.844,1:37.571,3,9.099,1:37.659,1,9.519,1:37.435,7,9.599,1:38.150
5,9.564,1:47.541,3,9.492,1:47.319,2,9.408,1:47.117,7,24.117,2:01.688,4,9.862,1:47.521,1,9.593,1:47.028,6,9.399,1:47.548
6,9.632,1:57.173,4,9.294,1:56.612,2,9.413,1:56.529,7,12.607,2:14.294,3,9.011,1:56.531,1,9.087,1:56.114,5,9.423,1:56.971
6,9.915,2:07.087,2,9.307,2:05.919,4,9.570,2:06.099,7,11.844,2:26.138,3,9.457,2:05.988,1,9.664,2:05.777,5,9.232,2:06.203
5,10.74,2:17.821,1,9.60,2:15.512,3,9.82,2:15.911,7,12.12,2:38.257,6,18.37,2:24.353,2,9.77,2:15.544,4,9.94,2:16.142
