KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
2,8.97,8.97,4,9.33,9.33,5,9.49,9.49,3,9.12,9.12,1,8.89,8.89,6,9.67,
3,12.07,21.04,4,11.91,21.24,5,11.88,21.37,1,11.80,20.92,2,12.08,20.97,6,11.84,
2,10.82,31.86,4,10.82,32.06,5,10.83,32.20,1,10.83,31.75,3,10.93,31.90,6,10.82,
3,10.33,42.19,2,10.07,42.13,5,10.23,42.43,1,10.36,42.11,4,10.42,42.32,6,10.22,
4,9.96,52.15,1,9.85,51.98,6,9.86,52.29,2,9.92,52.03,3,9.78,52.10,5,9.69,
4,9.81,1:01.96,1,9.84,1:01.82,6,9.99,1:02.28,3,9.88,1:01.91,2,9.73,1:01.83,5,9.86,
3,9.41,1:11.37,1,9.43,1:11.25,6,9.33,1:11.61,2,9.43,1:11.34,4,9.61,1:11.44,4,9.34,
1,9.13,1:20.50,2,9.34,1:20.59,6,9.34,1:20.95,4,9.40,1:20.74,5,9.41,1:20.85,3,9.21,
4,9.38,1:29.88,1,9.11,1:29.70,6,9.22,1:30.17,3,9.11,1:29.85,5,9.22,1:30.07,2,9.12,
4,9.26,1:39.14,1,9.21,1:38.91,5,9.09,1:39.26,3,9.24,1:39.09,6,9.22,1:39.29,2,9.22,
4,9.10,1:48.24,1,9.05,1:47.96,6,9.22,1:48.48,3,9.05,1:48.14,5,9.10,1:48.39,2,9.05,
3,9.23,1:57.47,1,9.20,1:57.16,4,9.97,1:58.45,5,22.30,2:10.44,2,8.93,1:57.32,6,34.55,
3,9.12,2:06.59,1,9.21,2:06.37,4,22.06,2:20.51,5,14.39,2:24.83,2,9.21,2:06.53,6,19.48,
3,9.35,2:15.94,1,9.30,2:15.67,4,13.14,2:33.653,5,10.81,2:35.64,2,9.23,2:15.76,6,22.78,
