Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,SONG Kyung-Taek POSITION,SONG Kyung-Taek LAP TIME,SONG Kyung-Taek ELAPSED TIME,Karl LINDQVIST POSITION,Karl LINDQVIST LAP TIME,Karl LINDQVIST ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME
2,13.660,13.660,4,13.940,13.940,5,14.140,14.140,1,13.580,13.580,3,13.690,13.690
3,10.620,24.290,4,10.390,24.330,5,10.510,24.650,2,10.510,24.090,1,10.230,23.920
3,9.710,34.000,4,9.780,34.120,5,9.840,34.500,1,9.740,33.840,2,9.980,33.910
3,9.860,43.860,2,9.600,43.720,5,10.050,44.550,1,9.720,43.560,4,10.110,44.020
3,9.670,53.540,2,9.580,53.310,5,9.950,54.500,1,9.720,53.290,4,9.620,53.640
3,9.230,1:02.770,1,9.100,1:02.410,5,10.230,1:04.740,2,9.210,1:02.500,4,9.200,1:02.840
4,9.400,1:12.170,1,9.180,1:11.600,5,10.460,1:15.210,2,9.140,1:11.650,3,9.070,1:11.920
4,9.540,1:21.720,1,9.180,1:20.790,5,10.780,1:25.990,2,9.260,1:20.910,3,9.180,1:21.100
4,10.040,1:31.770,1,9.430,1:30.220,5,11.190,1:37.190,3,9.760,1:30.680,2,9.390,1:30.490
