Takehiro KODERA POSITION,Takehiro KODERA LAP TIME,Takehiro KODERA ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME
2,6.964,6.964,1,6.957,6.957,4,7.333,7.333,3,7.043,7.043
2,9.313,16.277,1,9.302,16.258,3,8.978,16.311,4,9.278,16.321
4,9.094,25.371,1,8.988,25.246,3,9.008,25.318,2,8.948,25.269
4,9.438,34.809,3,9.342,34.587,1,8.808,34.126,2,9.000,34.268
4,9.43,44.231,3,9.60,44.187,2,9.70,43.826,1,9.45,43.716
