Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,WEI Jiguang POSITION,WEI Jiguang LAP TIME,WEI Jiguang ELAPSED TIME,Tomasz WROBLEWSKI POSITION,Tomasz WROBLEWSKI LAP TIME,Tomasz WROBLEWSKI ELAPSED TIME
1,6.610,6.610,3,6.800,6.800,2,6.740,6.740,4,6.920,6.920
1,8.840,15.450,2,9.140,15.950,3,9.280,16.020,4,9.120,16.040
2,8.860,24.320,1,8.330,24.280,4,8.650,24.670,3,8.600,24.650
4,9.180,33.510,2,8.950,33.240,1,8.390,33.070,3,8.840,33.490
3,9.170,42.680,2,8.980,42.230,1,9.020,42.100,4,9.190,42.690
