CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME
4,14.19,14.19,2,14.04,14.04,1,13.94,13.94,3,14.05,
3,10.27,24.46,2,10.34,24.38,4,10.55,24.49,1,10.30,
1,9.96,34.42,3,10.24,34.62,4,10.24,34.73,2,10.20,
1,9.71,44.13,2,9.59,44.21,3,9.50,44.23,4,9.86,
1,9.53,53.66,2,9.56,53.77,3,9.65,53.88,4,9.56,
1,9.63,1:03.29,2,9.62,1:03.39,3,9.61,1:03.49,3,9.52,
1,9.58,1:12.87,2,9.58,1:12.97,4,9.75,1:13.24,3,9.67,
1,9.52,1:22.39,2,9.55,1:22.52,3,9.38,1:22.62,4,9.60,
1,9.60,1:31.99,2,9.53,1:32.05,3,9.60,1:32.22,4,9.59,
