Maaike VOS POSITION,Maaike VOS LAP TIME,Maaike VOS ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME
2,8.230,8.230,3,8.710,8.710,1,8.110,8.110,5,9.310,9.310,4,8.810,8.810
1,12.990,21.220,4,12.690,21.400,2,13.210,21.320,5,12.670,21.980,3,12.570,21.390
1,12.310,33.540,4,12.680,34.080,2,12.320,33.650,5,12.220,34.200,3,12.610,34.000
1,11.550,45.090,2,11.250,45.340,4,12.010,45.660,5,11.800,46.010,3,11.410,45.420
2,11.660,56.760,5,12.080,57.430,4,11.490,57.160,1,10.630,56.640,3,11.600,57.030
1,12.200,1:08.960,2,11.790,1:09.230,4,12.780,1:09.940,3,12.760,1:09.410,5,13.270,1:10.310
1,10.850,1:19.810,0,,,3,10.060,1:20.010,4,11.510,1:20.920,2,9.660,1:19.970
2,10.730,1:30.550,0,,,3,10.590,1:30.600,4,10.250,1:31.180,1,10.380,1:30.360
3,10.640,1:41.190,4,0.000,1:41.330,1,10.520,1:41.120,5,10.540,1:41.720,2,10.770,1:41.130
1,10.560,1:51.750,4,10.930,1:52.270,2,10.690,1:51.820,5,10.630,1:52.360,3,11.040,1:52.180
2,10.660,2:02.420,3,10.310,2:02.580,1,10.550,2:02.370,5,11.440,2:03.800,4,10.470,2:02.650
2,10.290,2:12.710,3,10.180,2:12.770,1,10.180,2:12.560,5,9.610,2:13.420,4,10.280,2:12.940
1,10.170,2:22.890,3,10.300,2:23.080,2,10.470,2:23.030,5,10.320,2:23.740,4,10.360,2:23.300
2,10.570,2:33.470,5,11.080,2:34.160,1,10.390,2:33.430,3,9.960,2:33.710,4,10.580,2:33.890
