Samra SELIMBEGOVIC POSITION,Samra SELIMBEGOVIC LAP TIME,Samra SELIMBEGOVIC ELAPSED TIME,Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME
1,7.73,7.73,4,8.69,8.69,2,7.93,7.93,3,8.03,8.03
4,10.41,18.14,1,8.70,17.39,2,9.64,17.57,3,10.03,18.06
4,28.51,46.65,2,9.58,26.97,1,9.07,26.64,3,9.49,27.55
4,13.54,1:00.19,1,8.50,35.47,2,9.33,35.97,3,9.72,37.27
4,12.00,1:12.181,1,9.46,44.927,2,9.20,45.168,3,9.78,47.047
