PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,ROBERTS Isabelle POSITION,ROBERTS Isabelle LAP TIME,ROBERTS Isabelle ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME,MYKHALCHUK Diana POSITION,MYKHALCHUK Diana LAP TIME,MYKHALCHUK Diana ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,ARUN Shreya POSITION,ARUN Shreya LAP TIME,ARUN Shreya ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME
2,10.56,10.56,4,10.69,10.69,1,10.39,10.39,3,10.67,10.67,6,11.10,11.10,5,10.80,10.80,7,11.22,11.22
4,15.13,25.69,3,14.98,25.67,1,15.18,25.57,2,14.93,25.60,6,15.10,26.20,5,15.07,25.87,7,15.11,26.33
4,13.21,38.90,3,13.06,38.73,2,13.07,38.64,1,12.91,38.51,6,12.98,39.18,5,13.11,38.98,7,12.98,39.31
4,12.52,51.42,3,12.49,51.22,2,12.51,51.15,1,12.52,51.03,6,12.61,51.79,5,12.58,51.56,7,12.61,51.92
4,12.53,1:03.95,3,12.55,1:03.77,1,12.48,1:03.63,2,12.62,1:03.65,6,12.51,1:04.30,5,12.51,1:04.07,7,12.51,1:04.43
3,11.68,1:15.63,4,11.89,1:15.66,1,11.81,1:15.44,2,11.91,1:15.56,6,11.52,1:15.82,5,11.74,1:15.81,7,11.51,1:15.94
1,10.21,1:25.84,5,10.36,1:26.02,3,10.49,1:25.93,6,10.65,1:26.21,2,10.05,1:25.87,7,10.42,1:26.23,4,10.06,1:26.00
3,9.93,1:35.77,5,9.94,1:35.96,4,9.94,1:35.87,7,10.13,1:36.34,1,9.79,1:35.66,6,9.91,1:36.14,2,9.70,1:35.70
3,9.83,1:45.60,5,9.82,1:45.78,4,9.83,1:45.70,7,9.87,1:46.21,1,9.80,1:45.46,6,9.74,1:45.88,2,9.85,1:45.55
2,10.06,1:55.66,4,10.06,1:55.84,3,10.05,1:55.75,7,10.10,1:56.31,1,10.10,1:55.56,6,10.13,1:56.01,5,10.31,1:55.86
2,10.22,2:05.88,4,10.22,2:06.06,3,10.22,2:05.97,7,10.37,2:06.68,1,10.20,2:05.76,6,10.31,2:06.32,5,10.31,2:06.17
2,10.12,2:16.00,4,10.17,2:16.23,2,10.03,2:16.00,7,10.62,2:17.30,1,10.12,2:15.88,6,10.29,2:16.61,5,10.10,2:16.27
3,10.22,2:26.22,5,10.32,2:26.55,2,9.99,2:25.99,7,11.07,2:28.37,1,9.97,2:25.85,6,10.56,2:27.17,4,10.09,2:26.36
0,10.24,2:36.46,5,10.52,2:37.078,2,10.13,2:36.12,7,11.49,2:39.867,1,10.20,2:36.05,6,10.93,2:38.100,4,10.11,2:36.473
