VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,Sarah CHEN POSITION,Sarah CHEN LAP TIME,Sarah CHEN ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,SON Soo-Min POSITION,SON Soo-Min LAP TIME,SON Soo-Min ELAPSED TIME
1,7.54,7.54,2,7.69,7.69,4,8.10,8.10,3,7.85,7.85
1,9.75,17.29,2,9.68,17.37,4,9.63,17.73,3,9.53,17.38
1,9.40,26.69,3,9.58,26.95,4,9.36,27.09,2,9.40,26.78
2,9.65,36.34,3,9.42,36.37,4,9.41,36.50,1,9.45,36.23
3,9.74,46.080,2,9.69,46.053,4,9.67,46.161,1,9.72,45.943
