Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME
2,8.73,8.73,5,9.12,,4,8.92,8.92,6,9.30,,1,8.67,8.67,3,8.81,8.81,7,9.45,9.45
2,11.62,20.35,7,11.72,,4,11.68,20.60,5,11.42,,3,11.80,20.47,1,11.50,20.31,6,11.34,20.79
3,10.28,30.63,7,10.23,,5,10.26,30.86,5,10.14,,4,10.27,30.74,2,10.24,30.55,1,9.63,30.42
4,9.83,40.46,7,9.68,,6,9.79,40.65,1,9.48,,5,9.80,40.54,1,9.79,40.34,3,9.98,40.40
1,9.34,49.80,7,9.55,,6,9.54,50.19,4,9.68,,5,9.58,50.12,2,9.54,49.88,3,9.54,49.94
2,9.75,59.55,5,9.50,,7,9.82,1:00.01,4,9.71,,6,9.72,59.84,1,9.54,59.42,3,9.68,59.62
2,9.53,1:09.08,4,9.36,,7,9.44,1:09.45,5,9.44,,6,9.48,1:09.32,1,9.58,1:09.00,3,9.51,1:09.13
2,9.15,1:18.23,6,9.38,,7,9.18,1:18.63,3,9.10,,5,9.10,1:18.42,1,9.16,1:18.16,4,9.17,1:18.30
2,9.02,1:27.25,6,9.08,,7,9.02,1:27.65,3,9.07,,4,9.04,1:27.46,1,8.99,1:27.15,5,9.30,1:27.60
2,8.93,1:36.18,7,36.71,,5,8.94,1:36.59,3,8.94,,4,8.90,1:36.36,1,8.94,1:36.09,6,9.15,1:36.75
3,8.98,1:45.16,7,24.30,,6,9.00,1:45.59,2,8.86,,4,8.90,1:45.26,1,8.92,1:45.01,5,8.66,1:45.41
6,31.15,2:16.31,7,10.92,,4,9.09,1:54.68,5,10.47,,3,9.08,1:54.34,1,8.94,1:53.95,2,8.84,1:54.25
6,15.92,2:32.23,7,9.66,,4,9.29,2:03.97,5,11.39,,2,8.70,2:03.04,1,8.92,2:02.87,3,8.93,2:03.18
6,13.47,2:45.70,7,13.36,,4,9.51,2:13.48,5,13.67,,2,9.00,2:12.04,1,9.03,2:11.90,3,9.46,2:12.64
