Rina YAMANA POSITION,Rina YAMANA LAP TIME,Rina YAMANA ELAPSED TIME,Elizaveta KUZNETSOVA POSITION,Elizaveta KUZNETSOVA LAP TIME,Elizaveta KUZNETSOVA ELAPSED TIME,Maryia TSIASELKINA POSITION,Maryia TSIASELKINA LAP TIME,Maryia TSIASELKINA ELAPSED TIME,LETAI Julie POSITION,LETAI Julie LAP TIME,LETAI Julie ELAPSED TIME,Dione Shu Yen TAN POSITION,Dione Shu Yen TAN LAP TIME,Dione Shu Yen TAN ELAPSED TIME
1,14.12,14.12,2,14.23,14.23,3,14.29,,5,14.68,14.68,4,14.50,14.50
1,11.02,25.14,2,11.01,25.24,3,11.04,,5,10.86,25.54,4,10.94,25.44
1,11.03,36.17,2,11.01,36.25,3,11.05,,5,11.03,36.57,4,11.07,36.51
1,10.92,47.09,2,10.97,47.22,3,10.96,,4,10.96,47.53,4,11.02,47.53
2,10.35,57.44,1,10.21,57.43,3,10.24,,4,10.14,57.67,5,10.66,58.19
2,9.86,1:07.30,1,9.63,1:07.06,3,9.85,,4,9.84,1:07.51,5,10.99,1:09.18
2,9.85,1:17.15,1,9.99,1:17.05,3,9.84,,4,9.88,1:17.39,5,11.62,1:20.80
2,10.25,1:27.40,1,10.25,1:27.30,4,10.65,,3,10.31,1:27.70,5,12.04,1:32.84
1,10.33,1:37.725,2,10.57,1:37.858,4,10.97,,3,10.85,1:38.529,4,12.54,1:45.338
