HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,KIM Do Kyoum POSITION,KIM Do Kyoum LAP TIME,KIM Do Kyoum ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
1,6.75,6.75,2,6.93,6.93,3,7.04,7.04,5,7.37,7.37,4,7.22,7.22
1,8.90,15.65,2,8.86,15.79,3,8.87,15.91,5,8.86,16.23,4,8.82,16.04
1,8.39,24.04,2,8.34,24.13,3,8.33,24.24,5,8.45,24.68,4,8.37,24.41
2,8.57,32.61,1,8.34,32.47,3,8.43,32.67,5,8.59,33.27,4,8.46,32.87
2,8.54,41.15,1,8.54,41.01,3,8.68,41.35,5,8.77,42.043,4,8.67,41.548
