CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME
2,7.35,7.35,1,7.20,7.20,4,7.71,7.71,3,7.49,7.49
2,9.50,16.85,1,9.56,16.76,4,9.64,17.35,3,9.82,17.31
2,9.05,25.90,1,9.05,25.81,3,9.09,26.44,4,9.39,26.70
1,9.11,35.01,2,9.30,35.11,3,9.25,35.69,4,9.37,36.07
1,9.36,44.367,2,9.48,44.581,3,9.44,45.123,4,9.41,45.476
