Antoine GELINAS- BEAULIEU POSITION,Antoine GELINAS- BEAULIEU LAP TIME,Antoine GELINAS- BEAULIEU ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Ansis ROBS POSITION,Ansis ROBS LAP TIME,Ansis ROBS ELAPSED TIME,Sebastian KLOSINSKI POSITION,Sebastian KLOSINSKI LAP TIME,Sebastian KLOSINSKI ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
4,9.83,9.83,1,9.21,9.21,2,9.30,9.30,3,9.83,9.83,5,9.87,9.87
4,13.40,23.23,2,13.40,22.61,3,13.49,22.79,5,13.58,23.41,1,12.60,22.47
5,11.65,34.88,2,11.75,34.36,4,11.89,34.68,3,11.13,34.54,1,11.88,34.35
4,11.08,45.96,3,11.38,45.74,5,11.35,46.03,2,11.10,45.64,1,11.16,45.51
5,10.92,56.88,4,11.06,56.80,3,10.74,56.77,2,10.86,56.50,1,10.94,56.45
4,10.85,1:07.73,5,10.94,1:07.74,3,10.88,1:07.65,2,11.01,1:07.51,1,10.95,1:07.40
5,10.39,1:18.12,3,10.03,1:17.77,1,9.89,1:17.54,4,10.40,1:17.91,2,10.36,1:17.76
5,10.18,1:28.30,1,9.87,1:27.64,2,10.52,1:28.06,4,10.37,1:28.28,3,10.31,1:28.07
2,9.66,1:37.96,1,10.21,1:37.85,3,10.04,1:38.10,5,9.87,1:38.15,4,10.07,1:38.14
1,9.72,1:47.68,2,10.06,1:47.91,3,10.06,1:48.16,5,10.21,1:48.36,4,10.08,1:48.22
1,10.01,1:57.69,2,9.95,1:57.86,3,9.93,1:58.09,5,10.47,1:58.83,4,10.05,1:58.27
1,10.07,2:07.76,2,10.08,2:07.94,3,10.13,2:08.22,5,11.11,2:09.94,4,9.96,2:08.23
2,10.29,2:18.05,1,9.97,2:17.91,3,10.07,2:18.29,5,11.87,2:21.81,4,10.46,2:18.69
2,10.23,2:28.277,1,10.27,2:28.173,3,10.41,2:28.700,5,12.90,2:34.702,4,10.47,2:29.158
