CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME
2,15.52,15.52,1,15.26,15.26,4,15.77,15.77,3,15.70,15.70
2,9.68,25.20,1,9.64,24.90,4,9.92,25.69,3,9.88,25.58
2,9.26,34.46,1,9.42,34.32,4,9.02,34.71,3,8.97,34.55
2,9.52,43.98,1,9.58,43.90,3,9.36,44.07,4,9.58,44.13
2,9.49,53.47,1,9.49,53.39,4,9.68,53.75,3,9.51,53.64
2,9.48,1:02.95,1,9.49,1:02.88,3,9.29,1:03.04,4,9.51,1:03.15
3,9.35,1:12.30,1,9.36,1:12.24,2,9.24,1:12.28,4,9.51,1:12.66
3,9.92,1:22.22,2,9.64,1:21.88,1,9.46,1:21.74,4,10.06,1:22.72
3,9.68,1:31.891,2,9.64,1:31.519,1,9.30,1:31.032,4,10.66,1:33.379
