Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Azamat SULTANALIYEV POSITION,Azamat SULTANALIYEV LAP TIME,Azamat SULTANALIYEV ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
1,6.81,6.81,2,6.92,6.92,4,7.25,7.25,3,7.06,7.06
1,9.14,15.95,2,9.15,16.07,4,9.30,16.55,3,9.03,16.09
1,8.77,24.72,3,8.76,24.83,4,9.04,25.59,2,8.66,24.75
2,9.13,33.85,3,9.11,33.94,4,9.32,34.91,1,8.85,33.60
3,9.15,42.992,2,8.91,42.850,4,9.63,44.531,1,8.84,42.436
