Yoan GAUTHIER POSITION,Yoan GAUTHIER LAP TIME,Yoan GAUTHIER ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
2,8.95,8.95,1,8.87,8.87,3,9.06,9.06,4,9.20,9.20,5,9.26,9.26
2,13.77,22.72,1,13.75,22.62,4,13.81,22.87,5,13.80,23.00,3,13.51,22.77
3,13.84,36.56,1,13.71,36.33,4,13.79,36.66,5,13.86,36.86,2,13.70,36.47
3,13.90,50.46,1,13.84,50.17,4,13.94,50.60,5,13.91,50.77,2,13.89,50.36
1,13.44,1:03.90,2,13.82,1:03.99,4,13.55,1:04.15,5,13.61,1:04.38,3,13.70,1:04.06
1,11.09,1:14.99,2,11.09,1:15.08,4,11.21,1:15.36,5,11.09,1:15.47,3,11.12,1:15.18
1,10.96,1:25.95,3,10.96,1:26.04,4,10.87,1:26.23,5,10.86,1:26.33,2,10.78,1:25.96
3,10.52,1:36.47,2,10.35,1:36.39,4,10.35,1:36.58,5,10.40,1:36.73,1,10.40,1:36.36
1,10.21,1:46.68,3,10.38,1:46.77,4,10.29,1:46.87,5,10.28,1:47.01,2,10.33,1:46.69
1,9.21,1:55.89,5,9.56,1:56.33,2,9.21,1:56.08,4,9.24,1:56.25,3,9.51,1:56.20
1,9.00,2:04.89,5,9.01,2:05.34,2,8.99,2:05.07,4,9.01,2:05.26,3,8.99,2:05.19
1,9.16,2:14.05,5,9.15,2:14.49,2,9.11,2:14.18,4,9.08,2:14.34,3,9.09,2:14.28
1,9.37,2:23.42,4,9.10,2:23.59,2,9.31,2:23.49,5,9.25,2:23.59,3,9.27,2:23.55
1,9.78,2:33.201,4,9.71,2:33.299,2,9.71,2:33.201,3,9.69,2:33.276,0,,PEN
