Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME
2,9.75,,3,9.87,9.87,5,10.01,10.01,6,10.14,10.14,3,9.87,,1,9.68,9.68,7,10.24,10.24,8,10.32,10.32
5,12.89,,6,12.85,22.72,4,12.61,22.62,7,12.72,22.86,2,12.52,,3,12.83,22.51,8,12.76,23.00,1,11.95,22.27
1,11.03,,6,11.43,34.15,2,11.13,33.75,7,11.46,34.32,3,11.47,,4,11.44,33.95,8,11.43,34.43,5,11.72,33.99
1,11.08,,2,10.61,44.76,4,11.08,44.83,7,10.96,45.28,3,10.95,,5,11.04,44.99,8,10.96,45.39,6,11.16,45.15
2,10.47,,1,10.32,55.08,3,10.61,55.44,6,10.54,55.82,5,10.88,,4,10.57,55.56,8,10.59,55.98,7,10.76,55.91
5,10.83,,3,10.86,1:05.94,2,10.40,1:05.84,7,10.33,1:06.15,1,10.11,,4,10.46,1:06.02,6,10.12,1:06.10,8,10.37,1:06.28
6,10.10,,5,10.07,1:16.01,3,9.92,1:15.76,8,10.27,1:16.42,2,9.84,,4,9.89,1:15.91,1,9.41,1:15.51,7,10.00,1:16.28
6,9.82,,5,9.90,1:25.91,3,9.96,1:25.72,8,9.69,1:26.11,2,9.99,,4,9.89,1:25.80,1,10.03,1:25.54,7,9.71,1:25.99
4,9.71,,6,9.96,1:35.87,2,9.81,1:35.53,7,9.78,1:35.89,3,9.94,,5,9.99,1:35.79,1,9.90,1:35.44,8,10.01,1:36.00
3,9.75,,5,9.78,1:45.65,2,9.79,1:45.32,6,9.83,1:45.72,8,10.33,,4,9.79,1:45.58,1,9.75,1:45.19,6,9.72,1:45.72
3,9.77,,4,9.62,1:55.27,2,9.77,1:55.09,7,9.89,1:55.61,8,9.83,,5,9.71,1:55.29,1,9.80,1:54.99,6,9.76,1:55.48
3,9.70,,4,9.71,2:04.98,2,9.73,2:04.82,6,9.69,2:05.30,8,9.76,,5,9.92,2:05.21,1,9.69,2:04.68,7,9.89,2:05.37
7,17.58,,2,9.47,2:14.45,8,28.38,2:33.20,4,9.77,2:15.07,5,9.70,,3,9.70,2:14.91,1,9.55,2:14.23,6,11.08,2:16.45
7,18.30,,1,9.38,2:23.821,6,31.12,3:04.277,4,9.93,2:24.980,5,9.84,,3,9.97,2:24.858,2,9.99,2:24.205,5,11.67,2:28.101
