Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME
1,8.75,8.75,3,8.91,8.91,5,9.15,9.15,2,8.88,8.88,4,8.96,8.96
2,11.78,20.53,3,11.70,20.61,5,11.71,20.86,4,11.81,20.69,1,11.47,20.43
2,11.32,31.85,3,11.34,31.95,5,11.35,32.21,4,11.37,32.06,1,11.32,31.75
2,11.33,43.18,4,11.31,43.26,5,11.22,43.43,3,11.17,43.23,1,11.41,43.16
2,10.22,53.40,3,10.22,53.48,4,10.19,53.62,1,10.05,53.28,5,10.65,53.81
3,10.23,1:03.63,4,10.17,1:03.65,2,9.94,1:03.56,1,10.23,1:03.51,5,10.01,1:03.82
3,9.78,1:13.41,4,9.86,1:13.51,1,9.70,1:13.26,2,9.81,1:13.32,5,9.85,1:13.67
4,9.87,1:23.28,3,9.77,1:23.28,2,9.93,1:23.19,1,9.85,1:23.17,5,9.88,1:23.55
4,9.40,1:32.68,1,9.00,1:32.28,3,9.41,1:32.60,2,9.29,1:32.46,5,9.31,1:32.86
4,9.20,1:41.88,1,9.28,1:41.56,3,9.21,1:41.81,2,9.23,1:41.69,5,9.32,1:42.18
4,9.33,1:51.21,1,9.36,1:50.92,3,9.32,1:51.13,2,9.30,1:50.99,5,9.45,1:51.63
4,9.45,2:00.66,3,9.71,2:00.63,2,9.37,2:00.50,1,9.39,2:00.38,5,9.79,2:01.42
4,9.67,2:10.33,3,9.50,2:10.13,2,9.51,2:10.01,1,9.52,2:09.90,5,10.12,2:11.54
4,9.82,2:20.149,3,9.64,2:19.764,1,9.59,2:19.598,2,9.82,2:19.712,5,10.56,2:22.095
