Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME
2,9.86,9.86,1,9.74,9.74,3,10.04,10.04,5,10.43,10.43,4,10.31,10.31,6,10.64,10.64
3,14.33,24.19,1,14.13,23.87,4,14.28,24.32,6,14.21,24.64,5,14.21,24.52,2,13.23,23.87
3,11.30,35.49,2,11.54,35.41,4,11.25,35.57,6,11.24,35.88,5,11.26,35.78,1,11.39,35.26
3,11.53,47.02,1,11.34,46.75,4,11.52,47.09,6,11.49,47.37,5,11.51,47.29,2,11.64,46.90
4,11.45,58.47,1,11.46,58.21,5,11.46,58.55,2,10.91,58.28,6,11.38,58.67,3,11.45,58.35
4,10.46,1:08.93,2,10.52,1:08.73,5,10.48,1:09.03,1,10.34,1:08.62,6,10.49,1:09.16,3,10.50,1:08.85
5,10.58,1:19.51,3,10.48,1:19.21,6,10.59,1:19.62,2,10.58,1:19.20,1,10.02,1:19.18,4,10.52,1:19.37
5,9.67,1:29.18,2,9.52,1:28.73,6,9.64,1:29.26,3,9.66,1:28.86,1,9.41,1:28.59,4,9.71,1:29.08
5,9.77,1:38.95,2,9.93,1:38.66,4,9.55,1:38.81,3,9.89,1:38.75,1,9.97,1:38.56,6,9.89,1:38.97
5,10.03,1:48.98,2,9.99,1:48.65,4,9.97,1:48.78,3,10.01,1:48.76,1,9.98,1:48.54,6,10.21,1:49.18
5,9.66,1:58.64,2,9.59,1:58.24,3,9.57,1:58.35,4,9.78,1:58.54,1,9.63,1:58.17,6,9.56,1:58.74
4,9.61,2:08.25,2,9.51,2:07.75,3,9.50,2:07.85,5,9.91,2:08.45,1,9.50,2:07.67,6,9.71,2:08.45
4,9.53,2:17.78,2,9.46,2:17.21,3,9.48,2:17.33,6,10.16,2:18.61,1,9.47,2:17.14,5,9.48,2:17.93
4,9.51,2:27.290,2,9.59,2:26.796,3,9.61,2:26.934,6,10.85,2:29.458,1,9.59,2:26.723,5,9.72,2:27.650
